name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage
Patrick Drahi,Drahi,patrick-drahi,patrick-drahi,-334.886,53,telecom,Telecom,M,France,,1488028803343,,,,,,
Robin Li,Li,robin-li,robin-li,-680.703,48,internet search,Technology,M,China,"Founder and CEO, Baidu",1488028803343,,Beijing,,,,http://specials-images.forbesimg.com/imageserve/57a355b44bbe6f2005caa5e7/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
Philip Anschutz,Anschutz,philip-anschutz,philip-anschutz,15.192,77,investments,Finance and Investments,M,United States,,1488028803343,CO,Colorado,,,,http://specials-images.forbesimg.com/imageserve/57e57e7b4bbe6f24d1f89217/416x416.jpg?background=000000&cropX1=48&cropX2=589&cropY1=47&cropY2=588
Ronald Perelman,Perelman,ronald-perelman,ronald-perelman,13.939,74,leveraged buyouts,Finance and Investments,M,United States,,1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/56ce29eae4b062f6b59a7f41/416x416.jpg?background=000000&cropX1=135&cropX2=623&cropY1=26&cropY2=514
Klaus-Michael Kuehne,Kuehne,klaus-michael-kuehne,klaus-michael-kuehne,-109.674,79,shipping,Logistics,M,Germany,,1488028803343,,,,,,
Shiv Nadar,Nadar,shiv-nadar,shiv-nadar,0,71,software services,Technology,M,India,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/57d87f594bbe6f6781c4efec/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=124&cropY2=868
Viktor Vekselberg,Vekselberg,viktor-vekselberg,viktor-vekselberg,-65.938,59,"metals, energy",Energy,M,Russia,,1488028803343,,,,,,
Lui Che Woo,Lui,lui-che-woo,lui-che-woo,46.206,87,casinos,Gambling & Casinos,M,Hong Kong,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/5877bb6a4bbe6f1f20eace1b/416x416.jpg?background=000000&cropX1=159&cropX2=549&cropY1=108&cropY2=498
Samuel Newhouse Jr,Newhouse,samuel-newhouse-jr,samuel-newhouse-jr,35.177,89,media,Media & Entertainment,M,United States,,1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/57e584fa31358e16c589dd4c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=69&cropY2=813
Takemitsu Takizaki,Takizaki,takemitsu-takizaki,takemitsu-takizaki,99.464,71,sensors,Manufacturing,M,Japan,,1488028803343,,,,,,
Petr Kellner,Kellner,petr-kellner,petr-kellner,-9.233,52,"banking, insurance",Finance and Investments,M,Czech Republic,,1488028803343,,,,,,
Lukas Walton,Walton,lukas-walton,no-pic,143.398,30,Wal-Mart,Fashion & Retail,M,United States,,1488028803343,WY,Wyoming,,,,
Stephen Schwarzman,Schwarzman,stephen-schwarzman,stephen-schwarzman,-64.07,70,investments,Finance and Investments,M,United States,"Chairman and CEO, Blackstone Group",1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/57e586674bbe6f24d1f892ab/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=174&cropY2=918
Robert Kuok,Kuok,robert-kuok,robert-kuok,-38.275,93,"palm oil, shipping, real estate",Diversified,M,Malaysia,,1488028803343,,,,,,
Udo & Harald Tschira,Tschira,udo-harald-tschira,no-pic,-100.521,,software,Technology,,Germany,,1488028803343,,,,,,
Luis Carlos Sarmiento,Sarmiento,luis-carlos-sarmiento,luis-carlos-sarmiento,-71.728,84,banking,Finance and Investments,M,Colombia,,1488028803343,,,,,,
Peter Woo,Woo,peter-woo,peter-woo,-45.495,70,real estate,Real Estate,M,Hong Kong,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/5877bbb84bbe6f1f20eace2a/416x416.jpg?background=000000&cropX1=196&cropX2=510&cropY1=134&cropY2=448
Majid Al Futtaim & family,Al Futtaim,majid-al-futtaim,majid-al-futtaim,0,,"real estate, retail",Real Estate,M,United Arab Emirates,,1488028803343,,,,,,
Reinhold Wuerth & family,Wuerth,reinhold-wuerth,reinhold-wuerth,0,81,fasteners,Manufacturing,M,Germany,,1488028803343,,,,,,
Pierre Castel & family,Castel,pierre-castel,pierre-castel,0,90,wine,Food and Beverage,M,France,,1488028803343,,,,,,
Yang Huiyan,Yang,yang-huiyan,yang-huiyan,-78.857,35,real estate,Real Estate,F,China,Country Garden Holdings,1488028803343,,Guangdong,,,,
Kumar Birla,Birla,kumar-birla,kumar-birla,0,49,commodities,Diversified,M,India,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/57d87fa9a7ea430a8a19dd43/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=179&cropY2=923
Massimiliana Landini Aleotti & family,Landini Aleotti,massimiliana-landini-aleotti,no-pic-female,0,74,pharmaceuticals,Healthcare,F,Italy,,1488028803343,,,,,,
