name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Abdulla bin Ahmad Al Ghurair & family,Al Ghurair,abdulla-bin-ahmad-al-ghurair,abdulla-bin-ahmad-al-ghurair,0,diversified,Diversified,M,United Arab Emirates,1488028803343,6817.232,210,210
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,automobiles,Automotive,M,India,1488028803343,2000.889,1048,1048
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,air coolers,Manufacturing,M,India,1488028803344,1307.418,1558,1558
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,WeWork,Real Estate,M,Israel,1488028803343,2500,837,837
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,cosmetics,Fashion & Retail,F,United States,1488028803344,1561.233,1339,1339
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,"refinery, chemicals",Energy,M,Russia,1488028803344,1111.565,1748,1748
Alain Bouchard,Bouchard,alain-bouchard,alain-bouchard,-40.608,retail,Fashion & Retail,M,Canada,1488028803343,3236.601,609,609
Alain Taravella,Taravella,alain-taravella,alain-taravella,10.146,real estate,Real Estate,M,France,1488028803344,1476.746,1404,1404
Alain Wertheimer,Wertheimer,alain-wertheimer,alain-wertheimer,0,Chanel,Fashion & Retail,M,France,1488028803343,11749.655,113,113
Alan Rydge,Rydge,alan-rydge,alan-rydge,12.861,entertainment,Real Estate,M,Australia,1488028803344,1026.564,1828,1828
Albert Berner & family,Berner,albert-berner,albert-berner,0,fasteners,Manufacturing,M,Germany,1488028803344,1486.391,1396,1396
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,"refinery, chemicals",Diversified,M,Russia,1488028803344,1050.303,1803,1803
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,luxury goods,Fashion & Retail,M,Italy,1488028803344,1342.986,1515,1515
Alberto Roemmers,Roemmers,alberto-roemmers,no-pic,0,pharmaceuticals,Healthcare,M,Argentina,1488028803343,2032.049,1032,1032
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,shoes,Fashion & Retail,M,Canada,1488028803344,1004.172,1845,1845
Alejandro Santo Domingo,Santo Domingo,alejandro-santo-domingo,alejandro-santo-domingo,-11.4,beer,Food and Beverage,M,United States,1488028803343,4751.805,351,351
Alex Beard,Beard,alex-beard,alex-beard,-15.102,"mining, commodities",Metals & Mining,M,United Kingdom,1488028803344,1504.534,1379,1379
Alexander Karp,Karp,alexander-karp,alexander-karp,0,software firm,Technology,M,United States,1488028803344,1600,1300,1300
Alexander Svetakov,Svetakov,alexander-svetakov,alexander-svetakov,0,"banking, real estate",Finance and Investments,M,Russia,1488028803343,3266.964,604,604
Alexander Vik,Vik,alexander-vik,alexander-vik,0,investments,Finance and Investments,M,Norway,1488028803344,1000,1847,1847
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,investments,Diversified,F,Norway,1488028803344,1216.919,1642,1642
Alexandra Daitch,Daitch,alexandra-daitch,no-pic-female,0,Cargill,Food and Beverage,F,United States,1488028803344,1872.849,1131,1131
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,real estate,Real Estate,F,Germany,1488028803343,3493.677,558,558
Alexandre Grendene Bartelle,Grendene Bartelle,alexandre-grendene-bartelle,alexandre-grendene-bartelle,3.003,shoes,Fashion & Retail,M,Brazil,1488028803343,2065.755,1013,1013
