name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Abdulla Al Futtaim,Al Futtaim,abdulla-al-futtaim,abdulla-al-futtaim,-5.426,"auto dealers, investments",Automotive,M,United Arab Emirates,1488028803343,4071.452,444,444
Abdulla bin Ahmad Al Ghurair & family,Al Ghurair,abdulla-bin-ahmad-al-ghurair,abdulla-bin-ahmad-al-ghurair,0,diversified,Diversified,M,United Arab Emirates,1488028803343,6817.232,210,210
Abdullah Al Rajhi & family,Al Rajhi,abdullah-al-rajhi,no-pic,0.002,banking,Finance and Investments,M,Saudi Arabia,1488028803344,1889.169,1122,1122
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,automobiles,Automotive,M,India,1488028803343,2000.889,1048,1048
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,air coolers,Manufacturing,M,India,1488028803344,1307.418,1558,1558
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,WeWork,Real Estate,M,Israel,1488028803343,2500,837,837
Adi Godrej,Godrej,adi-godrej,adi-godrej,0,consumer goods,Diversified,M,India,1488028803343,2548.497,806,806
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,cosmetics,Fashion & Retail,F,United States,1488028803344,1561.233,1339,1339
Ahmet Calik,Calik,ahmet-calik,ahmet-calik,0,"energy, banking, construction",Diversified,M,Turkey,1488028803344,1415.408,1446,1446
Ahmet Nazif Zorlu,Zorlu,ahmet-nazif-zorlu,ahmet-nazif-zorlu,-3.09,diversified,Diversified,M,Turkey,1488028803344,1282.58,1582,1582
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,"refinery, chemicals",Energy,M,Russia,1488028803344,1111.565,1748,1748
Ajay Kalsi,Kalsi,ajay-kalsi,ajay-kalsi,-20.876,oil & gas,Energy,M,India,1488028803344,1164.945,1695,1695
Ajay Piramal,Piramal,ajay-piramal,ajay-piramal,0,pharmaceuticals,Healthcare,M,India,1488028803343,3766.384,509,509
Akio Nitori,Nitori,akio-nitori,akio-nitori,-12.081,home furnishings,Fashion & Retail,M,Japan,1488028803343,3167.684,628,628
Alain Bouchard,Bouchard,alain-bouchard,alain-bouchard,-40.608,retail,Fashion & Retail,M,Canada,1488028803343,3236.601,609,609
Alain Merieux & family,Merieux,alain-merieux,alain-merieux,-84.962,pharmaceuticals,Healthcare,M,France,1488028803343,3905.05,468,468
Alain Taravella,Taravella,alain-taravella,alain-taravella,10.146,real estate,Real Estate,M,France,1488028803344,1476.746,1404,1404
Alain Wertheimer,Wertheimer,alain-wertheimer,alain-wertheimer,0,Chanel,Fashion & Retail,M,France,1488028803343,11749.655,113,113
Alan Howard,Howard,alan-howard,alan-howard,0,hedge funds,Finance and Investments,M,United Kingdom,1488028803344,1440,1431,1431
Alan Rydge,Rydge,alan-rydge,alan-rydge,12.861,entertainment,Real Estate,M,Australia,1488028803344,1026.564,1828,1828
Albert Berner & family,Berner,albert-berner,albert-berner,0,fasteners,Manufacturing,M,Germany,1488028803344,1486.391,1396,1396
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,"refinery, chemicals",Diversified,M,Russia,1488028803344,1050.303,1803,1803
Albert Yeung,Yeung,albert-yeung,albert-yeung,-1.991,"real estate, retail",Diversified,M,Hong Kong,1488028803344,1571.696,1331,1331
Alberto Alcocer,Alcocer,alberto-alcocer,alberto-alcocer,-3.639,investments,Finance and Investments,M,Spain,1488028803344,1201.423,1663,1663
Alberto Cortina,Cortina,alberto-cortina,alberto-cortina,-3.639,investments,Finance and Investments,M,Spain,1488028803344,1139.14,1720,1720
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,luxury goods,Fashion & Retail,M,Italy,1488028803344,1342.986,1515,1515
Alberto Roemmers,Roemmers,alberto-roemmers,no-pic,0,pharmaceuticals,Healthcare,M,Argentina,1488028803343,2032.049,1032,1032
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,shoes,Fashion & Retail,M,Canada,1488028803344,1004.172,1845,1845
Alec Gores,Gores,alec-gores,alec-gores,0,private equity,Finance and Investments,M,United States,1488028803343,2067.4,1011,1011
Alejandro Bulgheroni,Bulgheroni,alejandro-bulgheroni,no-pic,0,oil & gas,Energy,M,Argentina,1488028803343,3323.83,590,590
Alejandro Santo Domingo,Santo Domingo,alejandro-santo-domingo,alejandro-santo-domingo,-11.4,beer,Food and Beverage,M,United States,1488028803343,4751.805,351,351
Alex Beard,Beard,alex-beard,alex-beard,-15.102,"mining, commodities",Metals & Mining,M,United Kingdom,1488028803344,1504.534,1379,1379
Alexander Abramov,Abramov,alexander-abramov,alexander-abramov,-35.793,"steel, mining",Metals & Mining,M,Russia,1488028803343,4462.503,387,387
Alexander Dzhaparidze,Dzhaparidze,alexander-dzhaparidze,alexander-dzhaparidze,0,oil services,Energy,M,Russia,1488028803344,1294,1566,1566
Alexander Frolov,Frolov,alexander-frolov,alexander-frolov,-14.945,"mining, steel",Metals & Mining,M,Russia,1488028803344,1789.108,1190,1190
Alexander Karp,Karp,alexander-karp,alexander-karp,0,software firm,Technology,M,United States,1488028803344,1600,1300,1300
Alexander Machkevich,Machkevich,alexander-machkevich,alexander-machkevich,0,"mining, metals",Metals & Mining,M,Israel,1488028803343,1945.999,1092,1092
Alexander Mamut,Mamut,alexander-mamut,alexander-mamut,-8.608,investments,Finance and Investments,M,Russia,1488028803343,2511.559,833,833
Alexander Nesis,Nesis,alexander-nesis,alexander-nesis,-6.891,"metals, banking, fertilizers",Finance and Investments,M,Russia,1488028803343,2452.931,861,861
Alexander Ponomarenko,Ponomarenko,alexander-ponomarenko,alexander-ponomarenko,0,ports,Logistics,M,Russia,1488028803343,3010,673,673
Alexander Rovt,Rovt,alexander-rovt,alexander-rovt,0,"fertilizer, real estate",Manufacturing,M,United States,1488028803344,1291.6,1568,1568
Alexander Skorobogatko,Skorobogatko,alexander-skorobogatko,alexander-skorobogatko,0,ports,Logistics,M,Russia,1488028803343,3010,673,674
Alexander Spanos & family,Spanos,alexander-spanos,alexander-spanos,0,"real estate, San Diego Chargers",Sports,M,United States,1488028803343,2413.85,878,878
Alexander Svetakov,Svetakov,alexander-svetakov,alexander-svetakov,0,"banking, real estate",Finance and Investments,M,Russia,1488028803343,3266.964,604,604
Alexander Vik,Vik,alexander-vik,alexander-vik,0,investments,Finance and Investments,M,Norway,1488028803344,1000,1847,1847
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,investments,Diversified,F,Norway,1488028803344,1216.919,1642,1642
Alexandra Daitch,Daitch,alexandra-daitch,no-pic-female,0,Cargill,Food and Beverage,F,United States,1488028803344,1872.849,1131,1131
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,real estate,Real Estate,F,Germany,1488028803343,3493.677,558,558
Alexandre Grendene Bartelle,Grendene Bartelle,alexandre-grendene-bartelle,alexandre-grendene-bartelle,3.003,shoes,Fashion & Retail,M,Brazil,1488028803343,2065.755,1013,1013
Alexandre Soares dos Santos & family,Soares dos Santos,alexandre-soares-dos-santos,alexandre-soares-dos-santos,-32.729,supermarkets,Fashion & Retail,M,Portugal,1488028803343,2545.391,809,809
Alexei Ananyev,Ananyev,alexei-ananyev,alexei-ananyev,0.373,"banking, IT, real estate",Diversified,M,Russia,1488028803344,1395.705,1468,1468
Alexei Bogachev,Bogachev,alexei-bogachev,alexei-bogachev,-13.92,"retail, banking",Diversified,M,Russia,1488028803344,1012.9,1839,1839
Alexei Kuzmichev,Kuzmichev,alexei-kuzmichev,alexei-kuzmichev,-37.068,"oil, banking, telecom",Energy,M,Russia,1488028803343,7158.238,199,199
Alexey Mordashov,Mordashov,alexey-mordashov,alexey-mordashov,-307.588,"steel, investments",Metals & Mining,M,Russia,1488028803343,17251.649,53,53
Alfred Gantner,Gantner,alfred-gantner,no-pic,-13.295,private equity,Finance and Investments,M,Switzerland,1488028803344,1823.963,1166,1166
Alfred Oetker,Oetker,alfred-oetker,alfred-oetker,0,consumer goods,Fashion & Retail,M,Germany,1488028803343,1967.707,1069,1069
Alfredo Egydio Arruda Villela Filho,Egydio Arruda Villela Filho,alfredo-egydio-arruda-villela-filho,no-pic,-17.991,banking,Finance and Investments,M,Brazil,1488028803343,1906.28,1117,1117
