name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Jeffrey Lorberbaum,Lorberbaum,jeffrey-lorberbaum,jeffrey-lorberbaum,6.071,62,flooring,Manufacturing,M,United States,1488028203331,2269.192,934,934
Catherine Lozick,Lozick,catherine-lozick,no-pic-female,0,72,valve manufacturing,Manufacturing,F,United States,1488028203332,1807.013,1176,1176
Youssef Mansour,Mansour,youssef-mansour,youssef-mansour,0,71,diversified,Diversified,M,Egypt,1488028203332,1149.072,1706,1706
Craig McCaw,McCaw,craig-mccaw,craig-mccaw,-0.358,67,telecom,Telecom,M,United States,1488028203332,1802.087,1180,1180
Lachhman Das Mittal,Mittal,lachhman-das-mittal,lachhman-das-mittal,0,86,tractors,Automotive,M,India,1488028203332,1409.862,1455,1455
Nirav Modi,Modi,nirav-modi,nirav-modi,0,46,diamond jewelry,Fashion and Retail,M,India,1488028203332,1771.003,1204,1204
Marius Nacht,Nacht,marius-nacht,marius-nacht,-7.637,51,software,Technology,M,Israel,1488028203331,2163.03,967,967
Ranjan Pai,Pai,ranjan-pai,ranjan-pai,0,44,education,Service,M,India,1488028203332,1709.173,1228,1228
Forrest Preston,Preston,forrest-preston,no-pic,0,83,health care,Healthcare,M,United States,1488028203332,1393.722,1474,1474
Jennifer Pritzker,Pritzker,jennifer-pritzker,jennifer-pritzker,1.42,66,"hotels, investments",Service,F,United States,1488028203332,1766.726,1207,1207
Qin Yinglin,Qin,qin-yinglin,qin-yinglin,15.7,51,pig breeding,Food and Beverage,M,China,1488028203331,2211.887,951,951
Ren Zhengfei,Ren,ren-zhengfei,ren-zhengfei,0,73,telecom equipment,Telecom,M,China,1488028203331,2164.917,966,966
Helena Revoredo,Revoredo,helena-revoredo,helena-revoredo,-42.599,70,private security,Service,F,Spain,1488028203331,2131.503,978,978
Stephen Rubin,Rubin,stephen-rubin,stephen-rubin,-9.57,79,sports apparel,Fashion and Retail,M,United Kingdom,1488028203332,1824.933,1164,1164
Jacques Saade,Saade,jacques-saade,jacques-saade,0,80,shipping,Logistics,M,France,1488028203332,1863.963,1136,1136
Carlos Sanchez,Sanchez,carlos-sanchez,carlos-sanchez,0,55,generic drugs,Healthcare,M,Brazil,1488028203332,1787.778,1193,1193
"Karl Scheufele, III.",Scheufele,karl-scheufele-iii,karl-scheufele-iii,0,78,jewelry,Fashion and Retail,M,Switzerland,1488028203332,1931.348,1101,1101
Klaus-Peter Schulenberg,Schulenberg,klaus-peter-schulenberg,klaus-peter-schulenberg,-9.444,,ticketing service,Service,M,Germany,1488028203332,1824.12,1165,1165
Gerald Schwartz,Schwartz,gerald-schwartz,gerald-schwartz,4.516,75,finance,Finance and Investments,M,Canada,1488028203332,1788.115,1192,1192
Shen Wenrong,Shen,shen-wenrong,shen-wenrong,-12.74,71,steel production,Metals & Mining,M,China,1488028203332,1657.694,1261,1261
Don Simplot,Simplot,don-simplot,no-pic,,81,fertilizer,Manufacturing,M,United States,1471984011040,,,
Gay Simplot,Simplot,gay-simplot,no-pic-female,,72,fertilizer,Manufacturing,F,United States,1471984010751,,,
Alexander Spanos,Spanos,alexander-spanos,alexander-spanos,0,93,real estate,Sports,M,United States,1488028203331,2413.85,878,878
Sun Xishuang,Sun,sun-xishuang,sun-xishuang,3.212,63,real estate,Real Estate,M,China,1488028203331,2160.896,969,969
Leena Tewari,Tewari,leena-tewari,leena-tewari,0,59,pharmaceuticals,Healthcare,F,India,1488028203331,2048.915,1021,1021
Torsten Toeller,Toeller,torsten-toeller,torsten-toeller,0,50,pet food,Fashion and Retail,M,Germany,1488028203332,1773.512,1200,1200
Wang Wenjing,Wang,wang-wenjing,wang-wenjing,7.301,52,business software,Technology,M,China,1488028203332,1501.791,1382,1382
Kelcy Warren,Warren,kelcy-warren,kelcy-warren,-20.63,61,pipelines,Energy,M,United States,1488028203331,4429.343,395,395
Xu Ziquan,Xu,xu-ziquan,no-pic,1.221,58,software,Technology,M,China,1488028203332,1257.856,1609,1609
"Richard Yuengling, Jr.",Yuengling,richard-yuengling-jr,richard-yuengling-jr,0,73,beer,Food and Beverage,M,United States,1488028203332,1801.415,1181,1181
Zhang Li,Zhang,zhang-li,zhang-li,-14.789,64,real estate,Real Estate,M,China,1488028203331,2165.057,965,965
Zhou Guohui,Zhou,zhou-guohui,zhou-guohui,0.001,52,logistics,Logistics,M,China,1488028203332,1267.082,1600,1600
Folorunsho Alakija,Alakija,folorunsho-alakija,folorunsho-alakija,0,66,oil,Energy,F,Nigeria,1488028203332,1617.668,1289,1289
