name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Abdulla bin Ahmad Al Ghurair & family,Al Ghurair,abdulla-bin-ahmad-al-ghurair,abdulla-bin-ahmad-al-ghurair,0,diversified,Diversified,M,United Arab Emirates,1488027303979,6817.232,210,210
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,automobiles,Automotive,M,India,1488027303980,2000.889,1048,1048
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,air coolers,Manufacturing,M,India,1488027303980,1307.418,1558,1558
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,WeWork,Real Estate,M,Israel,1488027303980,2500,837,837
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,cosmetics,Fashion & Retail,F,United States,1488027303980,1561.233,1339,1339
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,"refinery, chemicals",Energy,M,Russia,1488027303980,1111.565,1748,1748
Ajay Kalsi,Kalsi,ajay-kalsi,ajay-kalsi,-20.876,oil & gas,Energy,M,India,1488027303980,1164.945,1695,1695
Akio Nitori,Nitori,akio-nitori,akio-nitori,-12.081,home furnishings,Fashion & Retail,M,Japan,1488027303979,3167.684,628,628
Alain Bouchard,Bouchard,alain-bouchard,alain-bouchard,-40.608,retail,Fashion & Retail,M,Canada,1488027303979,3236.601,609,609
Alain Taravella,Taravella,alain-taravella,alain-taravella,10.146,real estate,Real Estate,M,France,1488027303980,1476.746,1404,1404
Alain Wertheimer,Wertheimer,alain-wertheimer,alain-wertheimer,0,Chanel,Fashion & Retail,M,France,1488027303979,11749.655,113,113
Alan Rydge,Rydge,alan-rydge,alan-rydge,12.861,entertainment,Real Estate,M,Australia,1488027303980,1026.564,1828,1828
Albert Berner & family,Berner,albert-berner,albert-berner,0,fasteners,Manufacturing,M,Germany,1488027303980,1486.391,1396,1396
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,"refinery, chemicals",Diversified,M,Russia,1488027303980,1050.303,1803,1803
Albert Yeung,Yeung,albert-yeung,albert-yeung,-1.991,"real estate, retail",Diversified,M,Hong Kong,1488027303980,1571.696,1331,1331
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,luxury goods,Fashion & Retail,M,Italy,1488027303980,1342.986,1515,1515
Alberto Roemmers,Roemmers,alberto-roemmers,no-pic,0,pharmaceuticals,Healthcare,M,Argentina,1488027303980,2032.049,1032,1032
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,shoes,Fashion & Retail,M,Canada,1488027303980,1004.172,1845,1845
Alejandro Bulgheroni,Bulgheroni,alejandro-bulgheroni,no-pic,0,oil & gas,Energy,M,Argentina,1488027303979,3323.83,590,590
Alejandro Santo Domingo,Santo Domingo,alejandro-santo-domingo,alejandro-santo-domingo,-11.4,beer,Food and Beverage,M,United States,1488027303979,4751.805,351,351
Alex Beard,Beard,alex-beard,alex-beard,-15.102,"mining, commodities",Metals & Mining,M,United Kingdom,1488027303980,1504.534,1379,1379
Alexander Karp,Karp,alexander-karp,alexander-karp,0,software firm,Technology,M,United States,1488027303980,1600,1300,1300
Alexander Svetakov,Svetakov,alexander-svetakov,alexander-svetakov,0,"banking, real estate",Finance and Investments,M,Russia,1488027303979,3266.964,604,604
Alexander Vik,Vik,alexander-vik,alexander-vik,0,investments,Finance and Investments,M,Norway,1488027303980,1000,1847,1847
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,investments,Diversified,F,Norway,1488027303980,1216.919,1642,1642
Alexandra Daitch,Daitch,alexandra-daitch,no-pic-female,0,Cargill,Food and Beverage,F,United States,1488027303980,1872.849,1131,1131
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,real estate,Real Estate,F,Germany,1488027303979,3493.677,558,558
Alexandre Grendene Bartelle,Grendene Bartelle,alexandre-grendene-bartelle,alexandre-grendene-bartelle,3.003,shoes,Fashion & Retail,M,Brazil,1488027303980,2065.755,1013,1013
Alexandre Soares dos Santos & family,Soares dos Santos,alexandre-soares-dos-santos,alexandre-soares-dos-santos,-32.729,supermarkets,Fashion & Retail,M,Portugal,1488027303980,2545.391,809,809
Alexei Bogachev,Bogachev,alexei-bogachev,alexei-bogachev,-13.92,"retail, banking",Diversified,M,Russia,1488027303980,1012.9,1839,1839
Alfred Gantner,Gantner,alfred-gantner,no-pic,-13.295,private equity,Finance and Investments,M,Switzerland,1488027303980,1823.963,1166,1166
Alfred Oetker,Oetker,alfred-oetker,alfred-oetker,0,consumer goods,Fashion & Retail,M,Germany,1488027303980,1967.707,1069,1069
Alfredo Egydio Arruda Villela Filho,Egydio Arruda Villela Filho,alfredo-egydio-arruda-villela-filho,no-pic,-17.991,banking,Finance and Investments,M,Brazil,1488027303980,1906.28,1117,1117
Allan Goldman,Goldman,allan-goldman,no-pic,0,real estate,Real Estate,M,United States,1488027303979,3027.465,668,668
Allan Gray,Gray,allan-gray,allan-gray,0,money management,Finance and Investments,M,South Africa,1488027303980,1906.591,1116,1116
Aloke Lohia,Lohia,aloke-lohia,aloke-lohia,34.253,petrochemicals,Manufacturing,M,India,1488027303980,1697.848,1238,1238
Alvaro Saieh Bendeck,Saieh Bendeck,alvaro-saieh-bendeck,alvaro-saieh-bendeck,-1.555,banking,Finance and Investments,M,Chile,1488027303980,2481.762,847,847
Amy Goldman Fowler,Goldman Fowler,amy-goldman-fowler,no-pic-female,0,real estate,Real Estate,F,United States,1488027303979,3046.4,662,662
Amy Wyss,Wyss,amy-wyss,amy-wyss,0,medical equipment,Healthcare,F,United States,1488027303980,1849.35,1150,1150
Ana Lucia de Mattos Barretto Villela,de Mattos Barretto Villela,ana-lucia-de-mattos-barretto-villela,no-pic-female,-17.244,banking,Finance and Investments,F,Brazil,1488027303980,1745.63,1220,1220
Ana Maria Brescia Cafferata,Brescia Cafferata,ana-maria-brescia-cafferata,no-pic-female,0,"mining, banking",Diversified,F,Peru,1488027303980,1450,1421,1421
Ana Maria Marcondes Penido Sant'Anna,Marcondes Penido Sant'Anna,ana-maria-marcondes-penido-santanna,no-pic-female,6.193,toll roads,Construction & Engineering,F,Brazil,1488027303980,1484.775,1397,1397
Anand Burman,Burman,anand-burman-1,anand-burman-1,0,consumer goods,Food and Beverage,M,India,1488027303980,1411.061,1453,1453
Anand Mahindra,Mahindra,anand-mahindra,anand-mahindra,0,automobiles,Automotive,M,India,1488027303980,1317.887,1547,1547
Anas Sefrioui,Sefrioui,anas-sefrioui,anas-sefrioui,1.988,real estate,Real Estate,M,Morocco,1488027303980,1044.054,1810,1810
